feature,in_modeling_dataset,in_modeling_dataset_advanced,missing_in_basic,missing_in_advanced
diff_yellow_cards_for_avg_5,False,False,True,True
diff_yellow_cards_against_avg_5,False,False,True,True
diff_red_cards_for_avg_5,False,False,True,True
diff_red_cards_against_avg_5,False,False,True,True
diff_fouls_for_avg_5,False,False,True,True
diff_fouls_against_avg_5,False,False,True,True
diff_shots_for_avg_5,False,False,True,True
diff_shots_against_avg_5,False,False,True,True
diff_shots_on_target_for_avg_5,False,False,True,True
diff_shots_on_target_against_avg_5,False,False,True,True
diff_xg_for_avg_5,False,False,True,True
diff_xg_against_avg_5,False,False,True,True
diff_corners_for_avg_10,False,False,True,True
diff_yellow_cards_against_avg_10,False,False,True,True
diff_red_cards_against_avg_10,False,False,True,True
diff_fouls_for_avg_10,False,False,True,True
diff_fouls_against_avg_10,False,False,True,True
diff_shots_for_avg_10,False,False,True,True
diff_shots_against_avg_10,False,False,True,True
diff_shots_on_target_for_avg_10,False,False,True,True
diff_shots_on_target_against_avg_10,False,False,True,True
diff_xg_for_avg_10,False,False,True,True
diff_xg_against_avg_10,False,False,True,True
diff_advanced_matches_count_5,False,False,True,True
diff_advanced_matches_count_10,False,False,True,True
diff_advanced_matches_count_20,False,False,True,True
