feature,null_rate
h2h_goals_home_avg,0.12419659735349717
h2h_goals_away_avg,0.12419659735349717
h2h_total_goals_avg,0.12419659735349717
h2h_home_win_rate,0.12419659735349717
diff_days_since_last_match_pre,0.0030245746691871457
diff_win_avg_5,0.0030245746691871457
diff_goals_for_avg_10,0.0030245746691871457
diff_weighted_points_avg_5,0.0030245746691871457
diff_points_sum_5,0.0030245746691871457
diff_over_2_5_avg_5,0.0030245746691871457
diff_btts_avg_5,0.0030245746691871457
diff_failed_to_score_avg_5,0.0030245746691871457
diff_clean_sheet_avg_5,0.0030245746691871457
diff_loss_avg_5,0.0030245746691871457
diff_goal_diff_avg_5,0.0030245746691871457
diff_points_avg_5,0.0030245746691871457
diff_goal_diff_avg_10,0.0030245746691871457
diff_goals_against_avg_5,0.0030245746691871457
diff_goals_for_avg_5,0.0030245746691871457
diff_scoring_streak_prior,0.0030245746691871457
diff_win_streak_prior,0.0030245746691871457
diff_unbeaten_streak_prior,0.0030245746691871457
diff_matches_played_prior,0.0030245746691871457
diff_goals_against_avg_10,0.0030245746691871457
diff_draw_avg_5,0.0030245746691871457
diff_points_avg_10,0.0030245746691871457
diff_goal_diff_avg_20,0.0030245746691871457
diff_win_avg_10,0.0030245746691871457
diff_points_sum_20,0.0030245746691871457
diff_over_2_5_avg_20,0.0030245746691871457
diff_btts_avg_20,0.0030245746691871457
diff_failed_to_score_avg_20,0.0030245746691871457
diff_clean_sheet_avg_20,0.0030245746691871457
diff_loss_avg_20,0.0030245746691871457
diff_draw_avg_20,0.0030245746691871457
diff_win_avg_20,0.0030245746691871457
diff_points_avg_20,0.0030245746691871457
diff_weighted_points_avg_20,0.0030245746691871457
diff_goals_against_avg_20,0.0030245746691871457
diff_btts_avg_10,0.0030245746691871457
diff_goals_for_avg_20,0.0030245746691871457
diff_loss_avg_10,0.0030245746691871457
diff_clean_sheet_avg_10,0.0030245746691871457
diff_failed_to_score_avg_10,0.0030245746691871457
diff_draw_avg_10,0.0030245746691871457
diff_over_2_5_avg_10,0.0030245746691871457
diff_points_sum_10,0.0030245746691871457
diff_weighted_points_avg_10,0.0030245746691871457
points_avg_20_V,0.0017013232514177694
clean_sheet_avg_10_V,0.0017013232514177694
failed_to_score_avg_10_V,0.0017013232514177694
btts_avg_10_V,0.0017013232514177694
over_2_5_avg_10_V,0.0017013232514177694
points_sum_10_V,0.0017013232514177694
loss_avg_10_V,0.0017013232514177694
weighted_points_avg_10_V,0.0017013232514177694
goals_for_avg_20_V,0.0017013232514177694
goals_against_avg_20_V,0.0017013232514177694
goal_diff_avg_20_V,0.0017013232514177694
failed_to_score_avg_20_V,0.0017013232514177694
win_avg_20_V,0.0017013232514177694
draw_avg_20_V,0.0017013232514177694
loss_avg_20_V,0.0017013232514177694
clean_sheet_avg_20_V,0.0017013232514177694
btts_avg_20_V,0.0017013232514177694
over_2_5_avg_20_V,0.0017013232514177694
points_sum_20_V,0.0017013232514177694
weighted_points_avg_20_V,0.0017013232514177694
days_since_last_match_pre_V,0.0017013232514177694
points_avg_10_V,0.0017013232514177694
win_avg_10_V,0.0017013232514177694
draw_avg_10_V,0.0017013232514177694
goal_diff_avg_10_V,0.0017013232514177694
draw_avg_5_V,0.0017013232514177694
last_match_date_pre_V,0.0017013232514177694
matches_played_prior_V,0.0017013232514177694
unbeaten_streak_prior_V,0.0017013232514177694
win_streak_prior_V,0.0017013232514177694
scoring_streak_prior_V,0.0017013232514177694
goals_against_avg_5_V,0.0017013232514177694
goal_diff_avg_5_V,0.0017013232514177694
points_avg_5_V,0.0017013232514177694
win_avg_5_V,0.0017013232514177694
goals_for_avg_5_V,0.0017013232514177694
loss_avg_5_V,0.0017013232514177694
failed_to_score_avg_5_V,0.0017013232514177694
btts_avg_5_V,0.0017013232514177694
over_2_5_avg_5_V,0.0017013232514177694
points_sum_5_V,0.0017013232514177694
weighted_points_avg_5_V,0.0017013232514177694
goals_for_avg_10_V,0.0017013232514177694
goals_against_avg_10_V,0.0017013232514177694
clean_sheet_avg_5_V,0.0017013232514177694
weighted_points_avg_5_L,0.001575299306868305
failed_to_score_avg_5_L,0.001575299306868305
btts_avg_5_L,0.001575299306868305
over_2_5_avg_5_L,0.001575299306868305
points_sum_5_L,0.001575299306868305
points_avg_10_L,0.001575299306868305
goals_for_avg_10_L,0.001575299306868305
goals_against_avg_10_L,0.001575299306868305
goal_diff_avg_10_L,0.001575299306868305
loss_avg_5_L,0.001575299306868305
clean_sheet_avg_5_L,0.001575299306868305
last_match_date_pre_L,0.001575299306868305
draw_avg_5_L,0.001575299306868305
win_avg_5_L,0.001575299306868305
points_avg_5_L,0.001575299306868305
goal_diff_avg_5_L,0.001575299306868305
goals_against_avg_5_L,0.001575299306868305
goals_for_avg_5_L,0.001575299306868305
scoring_streak_prior_L,0.001575299306868305
win_streak_prior_L,0.001575299306868305
unbeaten_streak_prior_L,0.001575299306868305
matches_played_prior_L,0.001575299306868305
draw_avg_10_L,0.001575299306868305
win_avg_10_L,0.001575299306868305
goals_for_avg_20_L,0.001575299306868305
loss_avg_10_L,0.001575299306868305
win_avg_20_L,0.001575299306868305
days_since_last_match_pre_L,0.001575299306868305
weighted_points_avg_20_L,0.001575299306868305
points_sum_20_L,0.001575299306868305
over_2_5_avg_20_L,0.001575299306868305
btts_avg_20_L,0.001575299306868305
failed_to_score_avg_20_L,0.001575299306868305
clean_sheet_avg_10_L,0.001575299306868305
loss_avg_20_L,0.001575299306868305
draw_avg_20_L,0.001575299306868305
clean_sheet_avg_20_L,0.001575299306868305
points_avg_20_L,0.001575299306868305
goal_diff_avg_20_L,0.001575299306868305
goals_against_avg_20_L,0.001575299306868305
weighted_points_avg_10_L,0.001575299306868305
points_sum_10_L,0.001575299306868305
over_2_5_avg_10_L,0.001575299306868305
btts_avg_10_L,0.001575299306868305
failed_to_score_avg_10_L,0.001575299306868305
h2h_weight_sum,0.0
peso_competicion,0.0
h2h_matches,0.0
elo_prob_local_pre,0.0
diff_elo_pre,0.0
elo_visitante_pre,0.0
elo_local_pre,0.0
neutral,0.0
