case_id,home_team,away_team,available,source,reason,feature_search_mode,feature_was_reversed,features_count,corners_home,corners_away,corners_total,cards_home,cards_away,cards_total,old_corners_home,old_corners_away,old_corners_total,old_cards_home,old_cards_away,old_cards_total,delta_corners_home,abs_delta_corners_home,delta_corners_away,abs_delta_corners_away,delta_corners_total,abs_delta_corners_total,delta_cards_home,abs_delta_cards_home,delta_cards_away,abs_delta_cards_away,delta_cards_total,abs_delta_cards_total
MEX_RSA_2026_GROUP_FULL,Mexico,South Africa,True,legacy_joblib_real,,basic_direct_same_date,False,183,4.584243931306886,3.442261151884267,8.026505083191154,1.5045888011305164,1.7715572813150209,3.2761460824455373,5.215,3.499,8.714,1.52,1.477,2.997,-0.6307560686931142,0.6307560686931142,-0.05673884811573293,0.05673884811573293,-0.6874949168088467,0.6874949168088467,-0.015411198869483611,0.015411198869483611,0.2945572813150208,0.2945572813150208,0.2791460824455374,0.2791460824455374
CZE_KOR_2026_GROUP_FULL,Czechia,South Korea,True,legacy_joblib_real,,basic_reverse_same_date,True,183,4.742191101261723,3.3782273435414947,8.120418444803217,1.6412414180139223,1.9812887658271048,3.622530183841027,4.251,4.614,8.864,1.562,1.829,3.391,0.4911911012617223,0.4911911012617223,-1.2357726564585052,1.2357726564585052,-0.7435815551967835,0.7435815551967835,0.07924141801392226,0.07924141801392226,0.15228876582710482,0.15228876582710482,0.23153018384102708,0.23153018384102708
CAN_BIH_2026_GROUP_GOALS,Canada,Bosnia and Herzegovina,True,legacy_joblib_real,,basic_direct_same_date,False,183,4.364539398426783,3.500850401981655,7.865389800408438,1.1154871580292445,1.3760735027885656,2.49156066081781,,,,,,,,,,,,,,,,,,
USA_PAR_2026_GROUP_FULL,United States,Paraguay,True,legacy_joblib_real,,basic_direct_same_date,False,183,5.060413458288386,4.0091906020698325,9.06960406035822,1.900325816847698,1.7105864919874203,3.6109123088351183,3.593,3.093,6.686,1.577,2.263,3.84,1.4674134582883864,1.4674134582883864,0.9161906020698325,0.9161906020698325,2.38360406035822,2.38360406035822,0.323325816847698,0.323325816847698,-0.5524135080125796,0.5524135080125796,-0.2290876911648816,0.2290876911648816
