path,type,has_get_params,has_predict,has_transform,len,shape
root.corners_lines,<class 'list'>,False,False,False,5.0,
root.corners_lines[0],<class 'float'>,False,False,False,,
root.corners_lines[1],<class 'float'>,False,False,False,,
root.corners_lines[2],<class 'float'>,False,False,False,,
root.corners_lines[3],<class 'float'>,False,False,False,,
root.corners_lines[4],<class 'float'>,False,False,False,,
root.cards_lines,<class 'list'>,False,False,False,5.0,
root.cards_lines[0],<class 'float'>,False,False,False,,
root.cards_lines[1],<class 'float'>,False,False,False,,
root.cards_lines[2],<class 'float'>,False,False,False,,
root.cards_lines[3],<class 'float'>,False,False,False,,
root.cards_lines[4],<class 'float'>,False,False,False,,
