feature,in_basic,in_advanced,missing_basic,missing_advanced
diff_yellow_cards_for_avg_5,False,True,True,False
diff_yellow_cards_against_avg_5,False,True,True,False
diff_red_cards_for_avg_5,False,True,True,False
diff_red_cards_against_avg_5,False,True,True,False
diff_fouls_for_avg_5,False,True,True,False
diff_fouls_against_avg_5,False,True,True,False
diff_shots_for_avg_5,False,True,True,False
diff_shots_against_avg_5,False,True,True,False
diff_shots_on_target_for_avg_5,False,True,True,False
diff_shots_on_target_against_avg_5,False,True,True,False
diff_xg_for_avg_5,False,True,True,False
diff_xg_against_avg_5,False,True,True,False
diff_corners_for_avg_10,False,True,True,False
diff_yellow_cards_against_avg_10,False,True,True,False
diff_red_cards_against_avg_10,False,True,True,False
diff_fouls_for_avg_10,False,True,True,False
diff_fouls_against_avg_10,False,True,True,False
diff_shots_for_avg_10,False,True,True,False
diff_shots_against_avg_10,False,True,True,False
diff_shots_on_target_for_avg_10,False,True,True,False
diff_shots_on_target_against_avg_10,False,True,True,False
diff_xg_for_avg_10,False,True,True,False
diff_xg_against_avg_10,False,True,True,False
diff_advanced_matches_count_5,False,True,True,False
diff_advanced_matches_count_10,False,True,True,False
diff_advanced_matches_count_20,False,True,True,False
